Fecha_Numero,Fecha,Local,Visitante,Jugador,Oponente,Es_Local,Prediccion_Goles,Prediccion_Continua,Promedio_Historico_vs_Oponente,Historico_Tiros_Totales,Historico_Tiros_Puerta,Confianza,Prob_0goles,Prob_1gol,Prob_2goles,Prob_3mas_goles,Rango_Prediccion,Probabilidades
1,2025-01-24,Independiente Santa Fe,Pereira,Hugo_Rodallega,Pereira,True,0,0.0,0.6,4.0,1.0,1.0,1.0,0.0,0.0,0.0,"[0, 0.0]","{'P(0)': 1.0, 'P(1)': 0.0, 'P(2)': 0.0, 'P(3)': 0.0, 'P(4)': 0.0, 'P(5+)': 0.0}"
2,2025-01-31,Independiente Santa Fe,Deportes Tolima,Hugo_Rodallega,Deportes Tolima,True,0,0.0,0.42857142857142855,5.142857142857143,1.5714285714285714,1.0,1.0,0.0,0.0,0.0,"[0, 0.0]","{'P(0)': 1.0, 'P(1)': 0.0, 'P(2)': 0.0, 'P(3)': 0.0, 'P(4)': 0.0, 'P(5+)': 0.0}"
3,2025-02-07,Rionegro,Independiente Santa Fe,Hugo_Rodallega,Rionegro,False,0,0.0,0.0,4.0,1.0,1.0,1.0,0.0,0.0,0.0,"[0, 0.0]","{'P(0)': 1.0, 'P(1)': 0.0, 'P(2)': 0.0, 'P(3)': 0.0, 'P(4)': 0.0, 'P(5+)': 0.0}"
4,2025-02-11,Independiente Santa Fe,Atlético Nacional,Hugo_Rodallega,Atlético Nacional,True,0,0.0,0.16666666666666666,1.8333333333333333,0.5,1.0,1.0,0.0,0.0,0.0,"[0, 0.0]","{'P(0)': 1.0, 'P(1)': 0.0, 'P(2)': 0.0, 'P(3)': 0.0, 'P(4)': 0.0, 'P(5+)': 0.0}"
5,2025-02-15,América de Cali,Independiente Santa Fe,Hugo_Rodallega,América de Cali,False,0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,"[0, 0.0]","{'P(0)': 1.0, 'P(1)': 0.0, 'P(2)': 0.0, 'P(3)': 0.0, 'P(4)': 0.0, 'P(5+)': 0.0}"
6,2025-02-21,Independiente Santa Fe,Bucaramanga,Hugo_Rodallega,Bucaramanga,True,0,0.0,0.14285714285714285,5.0,1.1428571428571428,1.0,1.0,0.0,0.0,0.0,"[0, 0.0]","{'P(0)': 1.0, 'P(1)': 0.0, 'P(2)': 0.0, 'P(3)': 0.0, 'P(4)': 0.0, 'P(5+)': 0.0}"
7,2025-02-28,Envigado,Independiente Santa Fe,Hugo_Rodallega,Envigado,False,0,0.0,2.0,4.333333333333333,2.6666666666666665,1.0,1.0,0.0,0.0,0.0,"[0, 0.0]","{'P(0)': 1.0, 'P(1)': 0.0, 'P(2)': 0.0, 'P(3)': 0.0, 'P(4)': 0.0, 'P(5+)': 0.0}"
8,2025-03-07,Independiente Santa Fe,Fortaleza CEIF,Hugo_Rodallega,Fortaleza CEIF,True,0,0.0,0.3333333333333333,2.0,1.0,1.0,1.0,0.0,0.0,0.0,"[0, 0.0]","{'P(0)': 1.0, 'P(1)': 0.0, 'P(2)': 0.0, 'P(3)': 0.0, 'P(4)': 0.0, 'P(5+)': 0.0}"
9,2025-03-14,Once Caldas,Independiente Santa Fe,Hugo_Rodallega,Once Caldas,False,0,0.0,0.42857142857142855,3.857142857142857,2.0,1.0,1.0,0.0,0.0,0.0,"[0, 0.0]","{'P(0)': 1.0, 'P(1)': 0.0, 'P(2)': 0.0, 'P(3)': 0.0, 'P(4)': 0.0, 'P(5+)': 0.0}"
10,2025-03-22,Independiente Santa Fe,Millonarios,Hugo_Rodallega,Millonarios,True,0,0.0,0.4444444444444444,3.2222222222222223,1.2222222222222223,1.0,1.0,0.0,0.0,0.0,"[0, 0.0]","{'P(0)': 1.0, 'P(1)': 0.0, 'P(2)': 0.0, 'P(3)': 0.0, 'P(4)': 0.0, 'P(5+)': 0.0}"
11,2025-03-28,Unión Magdalena,Independiente Santa Fe,Hugo_Rodallega,Unión Magdalena,False,0,0.0,0.5,3.0,0.5,1.0,1.0,0.0,0.0,0.0,"[0, 0.0]","{'P(0)': 1.0, 'P(1)': 0.0, 'P(2)': 0.0, 'P(3)': 0.0, 'P(4)': 0.0, 'P(5+)': 0.0}"
12,2025-04-04,Independiente Santa Fe,Deportivo Pasto,Hugo_Rodallega,Deportivo Pasto,True,0,0.0,0.5,3.6666666666666665,1.0,1.0,1.0,0.0,0.0,0.0,"[0, 0.0]","{'P(0)': 1.0, 'P(1)': 0.0, 'P(2)': 0.0, 'P(3)': 0.0, 'P(4)': 0.0, 'P(5+)': 0.0}"
13,2025-04-10,La Equidad,Independiente Santa Fe,Hugo_Rodallega,La Equidad,False,1,0.0,0.42857142857142855,3.2857142857142856,1.5714285714285714,1.0,1.0,0.0,0.0,0.0,"[0, 0.0]","{'P(0)': 1.0, 'P(1)': 0.0, 'P(2)': 0.0, 'P(3)': 0.0, 'P(4)': 0.0, 'P(5+)': 0.0}"
14,2025-04-14,Independiente Santa Fe,Independiente Medellín,Hugo_Rodallega,Independiente Medellín,True,0,0.0,0.0,2.25,0.25,1.0,1.0,0.0,0.0,0.0,"[0, 0.0]","{'P(0)': 1.0, 'P(1)': 0.0, 'P(2)': 0.0, 'P(3)': 0.0, 'P(4)': 0.0, 'P(5+)': 0.0}"
15,2025-04-19,Llaneros,Independiente Santa Fe,Hugo_Rodallega,Llaneros,False,0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,"[0, 0.0]","{'P(0)': 1.0, 'P(1)': 0.0, 'P(2)': 0.0, 'P(3)': 0.0, 'P(4)': 0.0, 'P(5+)': 0.0}"
16,2025-04-26,Independiente Santa Fe,Boyacá Chicó,Hugo_Rodallega,Boyacá Chicó,True,0,0.0,0.3333333333333333,4.666666666666667,2.0,1.0,1.0,0.0,0.0,0.0,"[0, 0.0]","{'P(0)': 1.0, 'P(1)': 0.0, 'P(2)': 0.0, 'P(3)': 0.0, 'P(4)': 0.0, 'P(5+)': 0.0}"
17,2025-05-03,Millonarios,Independiente Santa Fe,Hugo_Rodallega,Millonarios,False,0,0.0,0.4444444444444444,3.2222222222222223,1.2222222222222223,1.0,1.0,0.0,0.0,0.0,"[0, 0.0]","{'P(0)': 1.0, 'P(1)': 0.0, 'P(2)': 0.0, 'P(3)': 0.0, 'P(4)': 0.0, 'P(5+)': 0.0}"
