Fecha_Numero,Fecha,Local,Visitante,Jugador,Oponente,Es_Local,Prediccion_Goles,Prediccion_Continua,Promedio_Historico_vs_Oponente,Historico_Tiros_Totales,Historico_Tiros_Puerta,Confianza,Prob_0goles,Prob_1gol,Prob_2goles,Prob_3mas_goles,Rango_Prediccion,Probabilidades
1,2025-01-24,Junior,Deportivo Cali,Marco_Perez,Deportivo Cali,True,0,0.0,0.42857142857142855,2.5714285714285716,1.0,1.0,1.0,0.0,0.0,0.0,"[0, 0.0]","{'P(0)': 1.0, 'P(1)': 0.0, 'P(2)': 0.0, 'P(3)': 0.0, 'P(4)': 0.0, 'P(5+)': 0.0}"
2,2025-01-31,Junior,Rionegro,Marco_Perez,Rionegro,True,0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,"[0, 0.0]","{'P(0)': 1.0, 'P(1)': 0.0, 'P(2)': 0.0, 'P(3)': 0.0, 'P(4)': 0.0, 'P(5+)': 0.0}"
3,2025-02-07,Unión Magdalena,Junior,Marco_Perez,Unión Magdalena,False,0,0.027727013,1.6666666666666667,3.6666666666666665,2.6666666666666665,0.9999999981373549,0.972653851978317,0.026968786439733276,0.0003738819522241274,3.4796297255700945e-06,"[0.027727009803056715, 0.027727017104625704]","{'P(0)': 0.972653851978317, 'P(1)': 0.026968786439733276, 'P(2)': 0.0003738819522241274, 'P(3)': 3.455543306488933e-06, 'P(4)': 2.3952973937337364e-08, 'P(5+)': 1.3344514382396255e-10}"
4,2025-02-11,Junior,Once Caldas,Marco_Perez,Once Caldas,True,0,0.0,0.16666666666666666,2.1666666666666665,0.6666666666666666,1.0,1.0,0.0,0.0,0.0,"[0, 0.0]","{'P(0)': 1.0, 'P(1)': 0.0, 'P(2)': 0.0, 'P(3)': 0.0, 'P(4)': 0.0, 'P(5+)': 0.0}"
5,2025-02-15,Boyacá Chicó,Junior,Marco_Perez,Boyacá Chicó,False,0,0.073138215,0.5,1.5,0.5,1.0,0.9294723544533116,0.06797994856917439,0.0024859660350983175,6.173094241561578e-05,"[0.07313821464776993, 0.07313821464776993]","{'P(0)': 0.9294723544533116, 'P(1)': 0.06797994856917439, 'P(2)': 0.0024859660350983175, 'P(3)': 6.0606372494028734e-05, 'P(4)': 1.1081604701227438e-06, 'P(5+)': 1.640945146430539e-08}"
6,2025-02-21,Junior,Envigado,Marco_Perez,Envigado,True,0,0.0,0.4444444444444444,3.4444444444444446,1.0,1.0,1.0,0.0,0.0,0.0,"[0, 0.0]","{'P(0)': 1.0, 'P(1)': 0.0, 'P(2)': 0.0, 'P(3)': 0.0, 'P(4)': 0.0, 'P(5+)': 0.0}"
7,2025-02-28,Bucaramanga,Junior,Marco_Perez,Bucaramanga,False,0,0.07602722,0.4,2.0,0.8,1.0,0.9267909771326643,0.0704613433454045,0.002678490095684379,6.918942624675273e-05,"[0.07602722197771072, 0.07602722197771072]","{'P(0)': 0.9267909771326643, 'P(1)': 0.0704613433454045, 'P(2)': 0.002678490095684379, 'P(3)': 6.787938702323196e-05, 'P(4)': 1.2901703062315494e-06, 'P(5+)': 1.986891728922302e-08}"
8,2025-03-07,Junior,Millonarios,Marco_Perez,Millonarios,True,0,0.0,0.2857142857142857,1.0,0.42857142857142855,1.0,1.0,0.0,0.0,0.0,"[0, 0.0]","{'P(0)': 1.0, 'P(1)': 0.0, 'P(2)': 0.0, 'P(3)': 0.0, 'P(4)': 0.0, 'P(5+)': 0.0}"
9,2025-03-14,Llaneros,Junior,Marco_Perez,Llaneros,False,0,0.08767245,0.0,0.0,0.0,1.0,0.9160608836515011,0.08031330169678698,0.0035206319495533654,0.00010518270215859839,"[0.08767244964838028, 0.08767244964838028]","{'P(0)': 0.9160608836515011, 'P(1)': 0.08031330169678698, 'P(2)': 0.0035206319495533654, 'P(3)': 0.0001028874757758988, 'P(4)': 2.255099259852859e-06, 'P(5+)': 4.01271228467337e-08}"
10,2025-03-22,Junior,Unión Magdalena,Marco_Perez,Unión Magdalena,True,0,0.0,1.6666666666666667,3.6666666666666665,2.6666666666666665,1.0,1.0,0.0,0.0,0.0,"[0, 0.0]","{'P(0)': 1.0, 'P(1)': 0.0, 'P(2)': 0.0, 'P(3)': 0.0, 'P(4)': 0.0, 'P(5+)': 0.0}"
11,2025-03-28,La Equidad,Junior,Marco_Perez,La Equidad,False,0,0.08276442,0.16666666666666666,2.0,0.8333333333333334,1.0,0.9205679919075143,0.07619027309746303,0.0031529217644410555,8.881323058158496e-05,"[0.08276441693305969, 0.08276441693305969]","{'P(0)': 0.9205679919075143, 'P(1)': 0.07619027309746303, 'P(2)': 0.0031529217644410555, 'P(3)': 8.698324382317263e-05, 'P(4)': 1.7997793644927618e-06, 'P(5+)': 3.020739391956795e-08}"
12,2025-04-04,Junior,Independiente Medellín,Marco_Perez,Independiente Medellín,True,0,0.0,0.16666666666666666,2.3333333333333335,0.5,1.0,1.0,0.0,0.0,0.0,"[0, 0.0]","{'P(0)': 1.0, 'P(1)': 0.0, 'P(2)': 0.0, 'P(3)': 0.0, 'P(4)': 0.0, 'P(5+)': 0.0}"
13,2025-04-10,Deportivo Pasto,Junior,Marco_Perez,Deportivo Pasto,False,0,0.0019033002,0.5,2.875,1.25,1.0,0.9980985099536075,0.001899681067245286,1.8078316525179104e-06,1.1474947350049437e-09,"[0.0019033001735806465, 0.0019033001735806465]","{'P(0)': 0.9980985099536075, 'P(1)': 0.001899681067245286, 'P(2)': 1.8078316525179104e-06, 'P(3)': 1.146948766013978e-09, 'P(4)': 5.457469463606272e-13, 'P(5+)': 2.220446049250313e-16}"
14,2025-04-14,Deportes Tolima,Junior,Marco_Perez,Deportes Tolima,False,0,0.05478993,0.0,2.0,1.0,1.0,0.9466839964228759,0.05186875044714373,0.001420942618188249,2.6310511792058644e-05,"[0.05478993058204651, 0.05478993058204651]","{'P(0)': 0.9466839964228759, 'P(1)': 0.05186875044714373, 'P(2)': 0.001420942618188249, 'P(3)': 2.595111580386851e-05, 'P(4)': 3.5546495835515167e-07, 'P(5+)': 3.931029834980393e-09}"
15,2025-04-19,Junior,Alianza FC,Marco_Perez,Alianza FC,True,0,0.0,0.6,2.8,0.8,1.0,1.0,0.0,0.0,0.0,"[0, 0.0]","{'P(0)': 1.0, 'P(1)': 0.0, 'P(2)': 0.0, 'P(3)': 0.0, 'P(4)': 0.0, 'P(5+)': 0.0}"
16,2025-04-26,Pereira,Junior,Marco_Perez,Pereira,False,0,0.07931689,0.2857142857142857,1.4285714285714286,0.5714285714285714,1.0,0.9237471502263103,0.07326875270024083,0.0029057248625524086,7.837221089651492e-05,"[0.0793168917298317, 0.0793168917298317]","{'P(0)': 0.9237471502263103, 'P(1)': 0.07326875270024083, 'P(2)': 0.0029057248625524086, 'P(3)': 7.682435477324985e-05, 'P(4)': 1.5233672574410098e-06, 'P(5+)': 2.4488865824068284e-08}"
17,2025-05-03,Junior,América de Cali,Marco_Perez,América de Cali,True,0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,"[0, 0.0]","{'P(0)': 1.0, 'P(1)': 0.0, 'P(2)': 0.0, 'P(3)': 0.0, 'P(4)': 0.0, 'P(5+)': 0.0}"
18,2025-05-10,Independiente Santa Fe,Junior,Marco_Perez,Independiente Santa Fe,False,0,0.035745937,1.4,3.2,2.6,1.0,0.9648854036614789,0.03449073321547149,0.0006164517948072266,7.411328242463504e-06,"[0.03574593737721443, 0.03574593737721443]","{'P(0)': 0.9648854036614789, 'P(1)': 0.03449073321547149, 'P(2)': 0.0006164517948072266, 'P(3)': 7.34521575108353e-06, 'P(4)': 6.564040556509014e-08, 'P(5+)': 4.720858148843377e-10}"
19,2025-05-17,Junior,Fortaleza CEIF,Marco_Perez,Fortaleza CEIF,True,0,0.0,0.0,1.0,0.5,1.0,1.0,0.0,0.0,0.0,"[0, 0.0]","{'P(0)': 1.0, 'P(1)': 0.0, 'P(2)': 0.0, 'P(3)': 0.0, 'P(4)': 0.0, 'P(5+)': 0.0}"
20,2025-05-24,Atlético Nacional,Junior,Marco_Perez,Atlético Nacional,False,0,0.08767245,0.0,3.0,1.0,1.0,0.9160608836515011,0.08031330169678698,0.0035206319495533654,0.00010518270215859839,"[0.08767244964838028, 0.08767244964838028]","{'P(0)': 0.9160608836515011, 'P(1)': 0.08031330169678698, 'P(2)': 0.0035206319495533654, 'P(3)': 0.0001028874757758988, 'P(4)': 2.255099259852859e-06, 'P(5+)': 4.01271228467337e-08}"
