Fecha_Numero,Fecha,Local,Visitante,Jugador,Oponente,Es_Local,Prediccion_Entero,Prediccion_Decimal,Promedio_Goles_vs_Oponente,Historico_Tiros_Totales,Historico_Tiros_Puerta,Confianza_Modelo,Prob_0goles,Prob_1gol,Prob_2goles,Prob_3mas_goles,Rango_Prediccion,Probabilidades
1,2025-01-24,Junior,Deportivo Cali,Carlos_Bacca,Deportivo Cali,True,1,0.71764505,0.8333333333333334,2.333333333333333,1.1666666666666667,1.0,0.4878998843995207,0.3501389364934139,0.1256377371349704,0.0363234419720948,"[0.7176450490951538, 0.7176450490951538]","{'P(0)': 0.48789988439952076, 'P(1)': 0.35013893649341393, 'P(2)': 0.12563773713497048, 'P(3)': 0.030054433344809978, 'P(4)': 0.005392103823315797, 'P(5+)': 0.0008769048039690697}"
2,2025-01-31,Junior,Rionegro,Carlos_Bacca,Rionegro,True,1,0.7230003,0.75,1.625,1.25,1.0,0.4852940476191144,0.3508677361979854,0.1268387371622175,0.0369994790206826,"[0.7230002880096436, 0.7230002880096436]","{'P(0)': 0.48529404761911443, 'P(1)': 0.3508677361979854, 'P(2)': 0.12683873716221752, 'P(3)': 0.03056814783302092, 'P(4)': 0.005525194921798873, 'P(5+)': 0.0009061362658628891}"
3,2025-02-07,Unión Magdalena,Junior,Carlos_Bacca,Unión Magdalena,False,1,0.8189306,0.25,2.25,0.875,1.0,0.440902892623317,0.3610688818239796,0.1478451826953656,0.0501830428573376,"[0.8189306259155273, 0.8189306259155273]","{'P(0)': 0.44090289262331706, 'P(1)': 0.3610688818239796, 'P(2)': 0.1478451826953656, 'P(3)': 0.04035831600110375, 'P(4)': 0.008262665245920136, 'P(5+)': 0.001562061610313803}"
4,2025-02-11,Junior,Once Caldas,Carlos_Bacca,Once Caldas,True,1,0.87225294,0.125,2.125,1.0,1.0,0.4180087385175202,0.3646093515906135,0.1590157896444976,0.0583661202473686,"[0.8722529411315918, 0.8722529411315918]","{'P(0)': 0.41800873851752024, 'P(1)': 0.36460935159061353, 'P(2)': 0.15901578964449764, 'P(3)': 0.04623399673459186, 'P(4)': 0.010081934908004042, 'P(5+)': 0.0020501886047727957}"
5,2025-02-15,Boyacá Chicó,Junior,Carlos_Bacca,Boyacá Chicó,False,1,0.8189306,0.25,1.0,0.75,1.0,0.440902892623317,0.3610688818239796,0.1478451826953656,0.0501830428573376,"[0.8189306259155273, 0.8189306259155273]","{'P(0)': 0.44090289262331706, 'P(1)': 0.3610688818239796, 'P(2)': 0.1478451826953656, 'P(3)': 0.04035831600110375, 'P(4)': 0.008262665245920136, 'P(5+)': 0.001562061610313803}"
6,2025-02-21,Junior,Envigado,Carlos_Bacca,Envigado,True,1,0.727216,0.6666666666666666,2.1666666666666665,1.0,1.0,0.4832524914348417,0.3514289463847527,0.1277823772728025,0.037536184907603,"[0.7272160053253174, 0.7272160053253174]","{'P(0)': 0.4832524914348417, 'P(1)': 0.35142894638475275, 'P(2)': 0.12778237727280256, 'P(3)': 0.030975129983766694, 'P(4)': 0.00563140257280682, 'P(5+)': 0.0009296523510294863}"
7,2025-02-28,Bucaramanga,Junior,Carlos_Bacca,Bucaramanga,False,1,0.8181542,0.2857142857142857,1.5714285714285714,0.8571428571428571,1.0,0.4412453470088424,0.3610067408630147,0.1476795934869361,0.0500683186412067,"[0.8181542158126831, 0.8181542158126831]","{'P(0)': 0.44124534700884244, 'P(1)': 0.3610067408630147, 'P(2)': 0.14767959348693616, 'P(3)': 0.040274894000280025, 'P(4)': 0.008237768579434512, 'P(5+)': 0.0015556560614922166}"
8,2025-03-07,Junior,Millonarios,Carlos_Bacca,Millonarios,True,1,0.73911846,0.375,2.625,1.125,1.0,0.477534697471032,0.3529547086825914,0.1304376698080352,0.0390729240383412,"[0.7391184568405151, 0.7391184568405151]","{'P(0)': 0.47753469747103205, 'P(1)': 0.35295470868259143, 'P(2)': 0.13043766980803528, 'P(3)': 0.03213629640746257, 'P(4)': 0.005938132452313277, 'P(5+)': 0.0009984951785654284}"
9,2025-03-14,Llaneros,Junior,Carlos_Bacca,Llaneros,False,0,0.8204527,0.0,1.0,0.0,1.0,0.4402323205671389,0.3611897916890655,0.1481695681184029,0.0504083196253926,"[0.8204526901245117, 0.8204526901245117]","{'P(0)': 0.44023232056713896, 'P(1)': 0.36118979168906556, 'P(2)': 0.14816956811840293, 'P(3)': 0.04052204025244359, 'P(4)': 0.00831160423361277, 'P(5+)': 0.00157467513933629}"
10,2025-03-22,Junior,Unión Magdalena,Carlos_Bacca,Unión Magdalena,True,0,0.7438686,0.25,2.25,0.875,1.0,0.4752717233243843,0.3535397064116086,0.1314935413528668,0.0396950289111402,"[0.7438685894012451, 0.7438685894012451]","{'P(0)': 0.47527172332438433, 'P(1)': 0.3535397064116086, 'P(2)': 0.13149354135286684, 'P(3)': 0.03260463837384378, 'P(4)': 0.006063391588772219, 'P(5+)': 0.0010269989485242048}"
