Jugador,Temporada,Fecha,Competición,Equipo,Oponente,Resultado,Goles,Asistencias,partido,Día de la semana,Ronda o Fase,Sede,Titular,Posición,Minutos,Penales marcados,Penales intentados,Tiros totales,Tiros a puerta,Tarjetas amarillas,Tarjetas rojas,Faltas cometidas,Faltas recibidas,Fuera de juego,Centros,Entradas ganadas,Intercepciones,Goles en propia,Penales ganados,Penales concedidos,Año,Mes,Eficiencia_Defensiva,Oponente_Original,Oponente_Estandarizado,Es_Colombiano,Es_Internacional,Oponente_Alianza FC,Oponente_América de Cali,Oponente_Atlético Huila,Oponente_Atlético Junior,Oponente_Atlético Nacional,Oponente_Boyacá Chicó,Oponente_Bucaramanga,Oponente_Cortuluá,Oponente_Deportes Tolima,Oponente_Deportivo Cali,Oponente_Deportivo Pasto,Oponente_Deportivo Pereira,Oponente_Envigado,Oponente_Fortaleza CEIF,Oponente_Independiente Medellín,Oponente_Independiente Santa Fe,Oponente_Jaguares,Oponente_La Equidad,Oponente_Llaneros,Oponente_Millonarios,Oponente_Once Caldas,Oponente_Unión Magdalena,Oponente_Águilas Doradas,Sede_Original,Sede_Local,Sede_Visitante,Sede_Neutral,Minutos_por_Partido,Indice_Defensa,Indice_Disciplina,Indice_Ofensivo_Defensa,Indice_Participacion,Score_Global_Defensa
Didider_Moreno,2022,2022-01-22,Primera A,JUNIOR,BOYACÁ PATRIOT,W 3–1,0,0,1,Sat,Apertura — First stage,HOME,Y,DM,73,0,0,0,0,0,0,2,0,0,0,2,2,0,0,0,2022,1,4,BOYACÁ PATRIOT,Boyacá Chicó,True,,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Home,1,0,,73.0,5.4,10.0,0.0,8.11111111111111,5.916666666666667
Didider_Moreno,2022,2022-01-26,Primera A,JUNIOR,NACIONAL,L 1–3,0,0,2,Wed,Apertura — First stage,AWAY,Y,DM,56,0,0,1,0,1,0,1,1,0,0,4,1,1,0,0,2022,1,4,NACIONAL,Atlético Nacional,True,,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Away,0,1,,28.0,2.6,9.5,0.0,3.111111111111111,3.666666666666667
Didider_Moreno,2022,2022-01-29,Primera A,JUNIOR,LA EQUIDAD,W 1–0,0,0,3,Sat,Apertura — First stage,HOME,Y,DM,76,0,0,1,1,0,0,2,4,0,0,1,3,0,0,0,2022,1,4,LA EQUIDAD,La Equidad,True,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,Home,1,0,,25.333333333333332,1.7,10.0,0.0,2.814814814814815,3.272222222222222
Didider_Moreno,2022,2022-02-02,Primera A,JUNIOR,SANTA FE,L 1–2,0,0,4,Wed,Apertura — First stage,AWAY,Y,DM,90,0,0,0,0,0,0,2,2,0,0,1,0,0,0,0,2022,2,1,SANTA FE,Independiente Santa Fe,True,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,Away,0,1,,22.5,0.375,10.0,0.0,2.5,2.5625
Didider_Moreno,2022,2022-02-07,Primera A,JUNIOR,RIONEGRO,W 2–1,0,0,5,Mon,Apertura — First stage,HOME,Y,CM,90,0,0,2,0,0,0,1,1,0,0,0,4,0,0,0,2022,2,4,RIONEGRO,Águilas Doradas,True,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,Home,1,0,,18.0,0.96,10.0,0.0,2.0,2.78
Didider_Moreno,2022,2022-02-12,Primera A,JUNIOR,ONCE CALDAS,L 0–1,0,0,6,Sat,Apertura — First stage,AWAY,Y,CM,88,0,0,0,0,1,0,1,1,0,0,1,3,0,0,0,2022,2,4,ONCE CALDAS,Once Caldas,True,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,Away,0,1,,14.666666666666666,0.85,9.833333333333334,0.0,1.6296296296296298,2.636111111111111
Didider_Moreno,2022,2022-02-16,Primera A,JUNIOR,INDEPENDIENTE,L 0–2,0,0,7,Wed,Apertura — First stage,AWAY,Y,DM,90,0,0,0,0,1,0,3,2,0,0,1,0,0,0,0,2022,2,1,INDEPENDIENTE,Independiente Medellín,True,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,Away,0,1,,12.857142857142858,0.21428571428571427,9.857142857142858,0.0,1.4285714285714284,2.292857142857143
Didider_Moreno,2022,2022-02-20,Primera A,JUNIOR,CD AMÉRICA,W 1–0,0,0,8,Sun,Apertura — First stage,HOME,Y,DM,90,0,0,0,0,1,0,2,0,0,0,2,2,0,0,0,2022,2,4,CD AMÉRICA,América de Cali,True,,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Home,1,0,,11.25,0.675,9.875,0.0,1.25,2.5
Didider_Moreno,2022,2022-02-26,Primera A,JUNIOR,TOLIMA,W 2–0,0,0,9,Sat,Apertura — First stage,AWAY,Y,DM,90,0,0,0,0,1,0,1,0,0,1,2,2,0,0,0,2022,2,4,TOLIMA,Deportes Tolima,True,,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Away,0,1,,10.0,0.6000000000000001,9.88888888888889,0.05555555555555555,1.1111111111111112,2.4527777777777775
Didider_Moreno,2022,2022-03-10,Sudamericana,CO JUNIOR,LA EQUIDAD,D 0–0,0,0,10,Thu,First stage,AWAY,Y,DM,90,0,0,3,0,0,0,3,2,0,0,2,0,0,0,0,2022,3,2,CO LA EQUIDAD,La Equidad,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,Away,0,1,,9.0,0.3,10.0,0.0,1.0,2.3
