Jugador,Temporada,Fecha,Equipo,Oponente,Goles,Asistencias,Día de la semana,Sede,Titular,Minutos,Penales marcados,Penales intentados,Tiros totales,Tiros a puerta,Tarjetas amarillas,Tarjetas rojas,Faltas cometidas,Faltas recibidas,Fuera de juego,Centros,Entradas ganadas,Intercepciones,Goles en propia,Penales ganados,Penales concedidos,Año,Mes,Equipo_Estandarizado,Equipo_Es_Colombiano,Equipo_Bucaramanga,Equipo_Independiente Santa Fe,Equipo_Junior,Equipo_Millonarios,Equipo_Once Caldas,Equipo_Pereira,Equipo_Rionegro,Oponente_Estandarizado,Oponente_Es_Colombiano,Oponente_Alianza FC,Oponente_Atlético Huila,Oponente_Atlético Nacional,Oponente_Boyacá Chicó,Oponente_Bucaramanga,Oponente_Cortuluá,Oponente_Deportes Tolima,Oponente_Deportivo Cali,Oponente_Deportivo Pasto,Oponente_Envigado,Oponente_Fortaleza CEIF,Oponente_Independiente Santa Fe,Oponente_Jaguares,Oponente_Junior,Oponente_La Equidad,Oponente_Llaneros,Oponente_Millonarios,Oponente_Once Caldas,Oponente_Pereira,Oponente_Rionegro,Oponente_Unión Magdalena,Sede_Local,Sede_Visitante,Sede_Neutral,Goles_por_90min,Eficiencia_Tiro,Precision_Tiro,Indice_Ofensivo,Indice_Disciplina,Indice_Participacion,Score_Global_Ataque,Tasa_Conversion_Penales,Ratio_Faltas
Carlos_Bacca,2022,2022-01-08,Granada,Barcelona,0,0,Sat,HOME,N,7,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,2022,1,Granada,False,0,0,0,0,0,0,0,Barcelona,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,0.0,0.0,0.0,9,0.7777777777777778,1.1333333333333333,0.0,1.0
Carlos_Bacca,2022,2022-01-20,Granada,Getafe,0,0,Thu,AWAY,N,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022,1,Granada,False,0,0,0,0,0,0,0,Getafe,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,10,0.7777777777777778,1.2333333333333334,0.0,0.0
Carlos_Bacca,2022,2022-01-23,Granada,Osasuna,0,0,Sun,HOME,N,10,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2022,1,Granada,False,0,0,0,0,0,0,0,Osasuna,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,0.0,0.0,0.0,10,1.1111111111111112,1.3333333333333333,0.0,0.0
Carlos_Bacca,2022,2022-04-20,Granada,Atlético Madrid,0,0,Wed,AWAY,N,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022,4,Granada,False,0,0,0,0,0,0,0,Atlético Madrid,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,10,1.6666666666666665,1.5,0.0,0.0
Carlos_Bacca,2022,2022-05-22,Granada,Espanyol,0,0,Sun,HOME,N,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2022,5,Granada,False,0,0,0,0,0,0,0,Espanyol,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,0.0,0.0,0.0,10,0.6666666666666666,1.2,0.0,0.0
Carlos_Bacca,2022,2022-07-23,Junior,Santa Fe,0,0,Sat,HOME,N,24,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2022,7,Junior,True,False,False,True,False,False,False,False,Independiente Santa Fe,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,1,0,0,0.0,0.0,0.0,0.0,10,2.6666666666666665,1.7999999999999998,0.0,0.0
Carlos_Bacca,2022,2022-07-31,Junior,Rionegro,1,0,Sun,AWAY,N,45,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,2022,7,Junior,True,False,False,True,False,False,False,False,Rionegro,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,0,1,0,2.0,100.0,100.0,0.2,10,5.0,2.62,0.0,1.0
Carlos_Bacca,2022,2022-08-07,Junior,Once Caldas,0,0,Sun,HOME,N,45,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,2022,8,Junior,True,False,False,True,False,False,False,False,Once Caldas,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,1,0,0,0.0,0.0,0.0,0.0,10,5.0,2.5,0.0,1.0
Carlos_Bacca,2022,2022-08-13,Junior,Independiente,1,1,Sat,HOME,Y,71,0,0,4,2,0,0,0,1,1,1,2,0,0,0,0,2022,8,Junior,True,False,False,True,False,False,False,False,Independiente Santa Fe,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,1,0,0,1.267605633802817,25.0,50.0,2.4,10,7.888888888888888,4.806666666666667,0.0,1.0
Carlos_Bacca,2022,2022-08-21,Junior,CD América,0,0,Sun,AWAY,Y,90,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,2022,8,Junior,True,False,False,True,False,False,False,False,CD América,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,10,10.0,4.0,0.0,0.0
