Portero,Temporada,Fecha,Competición,Equipo,Oponente,Resultado,Tiros a puerta recibidos,Goles encajados,Paradas,Porcentaje de paradas,Porterías a cero,Penales recibidos,Penales permitidos,Penales atajados,Penales fallados,partido,Día de la semana,Ronda o Fase,Sede,Titular,Posición,Minutos,Año,Mes,Oponente_Original,Oponente_Estandarizado,Es_Colombiano,Es_Internacional,Oponente_Alianza FC,Oponente_América de Cali,Oponente_Atlético Huila,Oponente_Atlético Junior,Oponente_Atlético Nacional,Oponente_Boyacá Chicó,Oponente_Bucaramanga,Oponente_Cortuluá,Oponente_Deportes Tolima,Oponente_Deportivo Cali,Oponente_Deportivo Pasto,Oponente_Deportivo Pereira,Oponente_Envigado,Oponente_Fortaleza CEIF,Oponente_Independiente Medellín,Oponente_Independiente Santa Fe,Oponente_Jaguares,Oponente_La Equidad,Oponente_Llaneros,Oponente_Millonarios,Oponente_Once Caldas,Oponente_Unión Magdalena,Oponente_Águilas Doradas,Sede_Original,Sede_Local,Sede_Visitante,Sede_Neutral,Goles_Encajados_por_Partido,Porterias_Cero_por_Partido,Indice_Atajadas,Eficiencia_Penales,Score_Portero
Alvaro_Montero,2022,2022-01-21,Primera A,MILLONARIOS,PASTO,W 1–0,0,0,1,0.0,1,1,0,1,0,1,Fri,Apertura — First stage,AWAY,Y,GK,90,2022,1,PASTO,Deportivo Pasto,True,,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,Away,0,1,,0.0,1.0,1,100.0,55.5
Alvaro_Montero,2022,2022-01-25,Primera A,MILLONARIOS,CA BUCARAMANGA,D 0–0,2,0,2,1.0,1,0,0,0,0,2,Tue,Apertura — First stage,AWAY,Y,GK,90,2022,1,CA BUCARAMANGA,Bucaramanga,True,,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Away,0,1,,0.0,0.5,2,0.0,25.5
Alvaro_Montero,2022,2022-01-29,Primera A,MILLONARIOS,NACIONAL,L 0–2,6,2,4,0.667,0,0,0,0,0,3,Sat,Apertura — First stage,HOME,Y,GK,90,2022,1,NACIONAL,Atlético Nacional,True,,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Home,1,0,,0.6666666666666666,0.0,2,0.0,-9.333333333333334
Alvaro_Montero,2022,2022-02-02,Primera A,MILLONARIOS,ENVIGADO,D 0–0,2,0,2,1.0,1,0,0,0,0,4,Wed,Apertura — First stage,AWAY,Y,GK,90,2022,2,ENVIGADO,Envigado,True,,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,Away,0,1,,0.0,0.25,2,0.0,12.75
Alvaro_Montero,2022,2022-02-06,Primera A,MILLONARIOS,UNIÓN MAGDALENA,W 1–0,3,0,3,1.0,1,0,0,0,0,5,Sun,Apertura — First stage,HOME,Y,GK,90,2022,2,UNIÓN MAGDALENA,Unión Magdalena,True,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,Home,1,0,,0.0,0.2,3,0.0,10.3
Alvaro_Montero,2022,2022-02-13,Primera A,MILLONARIOS,AD CALI,W 2–0,0,0,0,0.0,1,0,0,0,0,6,Sun,Apertura — First stage,AWAY,Y,GK,90,2022,2,AD CALI,Deportivo Cali,True,,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,Away,0,1,,0.0,0.16666666666666666,0,0.0,8.333333333333332
Alvaro_Montero,2022,2022-02-16,Primera A,MILLONARIOS,RIONEGRO,W 2–0,1,0,1,1.0,1,0,0,0,0,7,Wed,Apertura — First stage,HOME,Y,GK,90,2022,2,RIONEGRO,Águilas Doradas,True,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,Home,1,0,,0.0,0.14285714285714285,1,0.0,7.2142857142857135
Alvaro_Montero,2022,2022-02-19,Primera A,MILLONARIOS,JAGUARES,W 2–1,5,1,4,0.8,0,0,0,0,0,8,Sat,Apertura — First stage,AWAY,Y*,GK,90,2022,2,JAGUARES,Jaguares,True,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,Away,0,1,,0.125,0.0,3,0.0,-1.625
Alvaro_Montero,2022,2022-02-22,Libertadores,CO MILLONARIOS,BR FLUMINENSE,L 1–2,8,2,6,0.75,0,0,0,0,0,9,Tue,Second qualifying stage,HOME,Y,GK,90,2022,2,BR FLUMINENSE,BR FLUMINENSE,False,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Home,1,0,,0.2222222222222222,0.0,4,0.0,-2.9999999999999996
Alvaro_Montero,2022,2022-02-26,Primera A,MILLONARIOS,CORTULUÁ,W 1–0,0,0,1,0.0,1,1,0,1,0,10,Sat,Apertura — First stage,HOME,Y,GK,90,2022,2,CORTULUÁ,Cortuluá,True,,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Home,1,0,,0.0,0.1,1,100.0,10.05
