Fecha_Numero,Fecha,Local,Visitante
1,2025-01-24,Boyacá Chicó,Bucaramanga
1,2025-01-24,Unión Magdalena,Millonarios
1,2025-01-24,América de Cali,Llaneros
1,2025-01-24,Atlético Nacional,Once Caldas
1,2025-01-24,Independiente Santa Fe,Pereira
1,2025-01-24,Junior,Deportivo Cali
1,2025-01-24,Alianza FC,Independiente Medellín
1,2025-01-24,Rionegro,La Equidad
1,2025-01-24,Deportes Tolima,Deportivo Pasto
1,2025-01-24,Fortaleza CEIF,Envigado
2,2025-01-31,Independiente Santa Fe,Deportes Tolima
2,2025-01-31,Once Caldas,Fortaleza CEIF
2,2025-01-31,Deportivo Pasto,Millonarios
2,2025-01-31,Junior,Rionegro
2,2025-01-31,La Equidad,Atlético Nacional
2,2025-01-31,Deportivo Cali,Envigado
2,2025-01-31,Independiente Medellín,Boyacá Chicó
2,2025-01-31,Bucaramanga,América de Cali
2,2025-01-31,Pereira,Alianza FC
2,2025-01-31,Llaneros,Unión Magdalena
3,2025-02-07,Rionegro,Independiente Santa Fe
3,2025-02-07,Deportes Tolima,Alianza FC
3,2025-02-07,Boyacá Chicó,Llaneros
3,2025-02-07,América de Cali,Deportivo Pasto
3,2025-02-07,Unión Magdalena,Junior
3,2025-02-07,Millonarios,La Equidad
3,2025-02-07,Envigado,Independiente Medellín
3,2025-02-07,Once Caldas,Bucaramanga
3,2025-02-07,Fortaleza CEIF,Deportivo Cali
3,2025-02-07,Atlético Nacional,Pereira
4,2025-02-11,Llaneros,Millonarios
4,2025-02-11,Rionegro,América de Cali
4,2025-02-11,Deportivo Pasto,Boyacá Chicó
4,2025-02-11,Independiente Medellín,Unión Magdalena
4,2025-02-11,Independiente Santa Fe,Atlético Nacional
4,2025-02-11,La Equidad,Envigado
4,2025-02-11,Junior,Once Caldas
4,2025-02-11,Pereira,Deportes Tolima
4,2025-02-11,Deportivo Cali,Bucaramanga
4,2025-02-11,Alianza FC,Fortaleza CEIF
5,2025-02-15,América de Cali,Independiente Santa Fe
5,2025-02-15,Millonarios,Independiente Medellín
5,2025-02-15,Unión Magdalena,La Equidad
5,2025-02-15,Atlético Nacional,Deportes Tolima
5,2025-02-15,Envigado,Deportivo Pasto
5,2025-02-15,Fortaleza CEIF,Rionegro
5,2025-02-15,Bucaramanga,Alianza FC
5,2025-02-15,Llaneros,Deportivo Cali
5,2025-02-15,Boyacá Chicó,Junior
5,2025-02-15,Once Caldas,Pereira
6,2025-02-21,La Equidad,Boyacá Chicó
6,2025-02-21,Rionegro,Once Caldas
6,2025-02-21,Pereira,Fortaleza CEIF
6,2025-02-21,Independiente Santa Fe,Bucaramanga
6,2025-02-21,Alianza FC,Atlético Nacional
6,2025-02-21,Deportivo Cali,Millonarios
6,2025-02-21,Deportes Tolima,América de Cali
6,2025-02-21,Junior,Envigado
6,2025-02-21,Deportivo Pasto,Unión Magdalena
6,2025-02-21,Independiente Medellín,Llaneros
7,2025-02-28,Envigado,Independiente Santa Fe
7,2025-02-28,Boyacá Chicó,Rionegro
7,2025-02-28,Bucaramanga,Junior
7,2025-02-28,América de Cali,Pereira
7,2025-02-28,Once Caldas,Alianza FC
7,2025-02-28,Millonarios,Deportes Tolima
7,2025-02-28,Unión Magdalena,Deportivo Cali
7,2025-02-28,Independiente Medellín,Deportivo Pasto
7,2025-02-28,Llaneros,La Equidad
7,2025-02-28,Fortaleza CEIF,Atlético Nacional
8,2025-03-07,Rionegro,Bucaramanga
8,2025-03-07,Pereira,Envigado
8,2025-03-07,Alianza FC,Unión Magdalena
8,2025-03-07,Deportivo Pasto,Llaneros
8,2025-03-07,La Equidad,Independiente Medellín
8,2025-03-07,Independiente Santa Fe,Fortaleza CEIF
8,2025-03-07,Junior,Millonarios
8,2025-03-07,Atlético Nacional,América de Cali
8,2025-03-07,Deportivo Cali,Boyacá Chicó
8,2025-03-07,Deportes Tolima,Once Caldas
9,2025-03-14,Bucaramanga,Pereira
9,2025-03-14,Deportivo Pasto,La Equidad
9,2025-03-14,Envigado,Atlético Nacional
9,2025-03-14,Fortaleza CEIF,Deportes Tolima
9,2025-03-14,América de Cali,Alianza FC
9,2025-03-14,Once Caldas,Independiente Santa Fe
9,2025-03-14,Millonarios,Rionegro
9,2025-03-14,Unión Magdalena,Boyacá Chicó
9,2025-03-14,Independiente Medellín,Deportivo Cali
9,2025-03-14,Llaneros,Junior
10,2025-03-22,Boyacá Chicó,Deportivo Pasto
10,2025-03-22,La Equidad,Fortaleza CEIF
10,2025-03-22,Pereira,Once Caldas
10,2025-03-22,Independiente Santa Fe,Millonarios
10,2025-03-22,Alianza FC,Bucaramanga
10,2025-03-22,Atlético Nacional,Independiente Medellín
10,2025-03-22,Rionegro,Envigado
