Fecha_Numero,Fecha,Local,Visitante,Oponente,Pred_en_decimal,Pred_en_decimal,Pred_en_Int,Pred_en_Int,Historico_de_tiros_totales,Historico_de_tiros_totales,Historico_de_tiros_a_puerta,Historico_de_tiros_a_puerta,Promedio_Historico_de_goles_vs_oponente,Promedio_Historico_de_goles_vs_oponente,Confianza_modelo,Confianza_modelo,Jugador,Es_Local,Rango_Prediccion,Confianza,Probabilidades
1,2025-01-24,Junior,Deportivo Cali,Deportivo Cali,0.00088561326,0,0,0,1.7703703703703704,0,0.837037037037037,0,0.8333333333333334,0,0.9988291203792088,0,Carlos_Bacca,True,"[0.0008856132626533508, 0.0008856132626533508]",0.9988291203792088,"{'P(0)': 0.9991147787770318, 'P(1)': 0.0008848292989979078, 'P(2)': 3.918082811884071e-07, 'P(3)': 1.1566353674595584e-10, 'P(4)': 2.5608290536902865e-14, 'P(5+)': 0.0}"
2,2025-01-31,Junior,Rionegro,Rionegro,0.0,0,0,0,1.7703703703703704,0,0.837037037037037,0,0.75,0,0.9988291203792088,0,Carlos_Bacca,True,"[0, 0.0]",0.9988291203792088,"{'P(0)': 1.0, 'P(1)': 0.0, 'P(2)': 0.0, 'P(3)': 0.0, 'P(4)': 0.0, 'P(5+)': 0.0}"
3,2025-02-07,Unión Magdalena,Junior,Unión Magdalena,0.10309483,0,0,0,1.7703703703703704,0,0.837037037037037,0,0.25,0,0.9988291203792088,0,Carlos_Bacca,False,"[0.10309483110904694, 0.10309483110904694]",0.9988291203792088,"{'P(0)': 0.9020414278363784, 'P(1)': 0.09299580865615499, 'P(2)': 0.004793693593627773, 'P(3)': 0.00016473501047452535, 'P(4)': 4.245832020654566e-06, 'P(5+)': 8.907134363411728e-08}"
4,2025-02-11,Junior,Once Caldas,Once Caldas,0.03761264,0,0,0,1.7703703703703704,0,0.837037037037037,0,0.125,0,0.9988291203792088,0,Carlos_Bacca,True,"[0.037612639367580414, 0.037612639367580414]",0.9988291203792088,"{'P(0)': 0.9630859302208491, 'P(1)': 0.03622420377338751, 'P(2)': 0.0006812439564530848, 'P(3)': 8.541127751804512e-06, 'P(4)': 8.031358948026386e-08, 'P(5+)': 6.07969008470377e-10}"
5,2025-02-15,Boyacá Chicó,Junior,Boyacá Chicó,0.10309483,0,0,0,1.7703703703703704,0,0.837037037037037,0,0.25,0,0.9988291203792088,0,Carlos_Bacca,False,"[0.10309483110904694, 0.10309483110904694]",0.9988291203792088,"{'P(0)': 0.9020414278363784, 'P(1)': 0.09299580865615499, 'P(2)': 0.004793693593627773, 'P(3)': 0.00016473501047452535, 'P(4)': 4.245832020654566e-06, 'P(5+)': 8.907134363411728e-08}"
6,2025-02-21,Junior,Envigado,Envigado,0.0,0,1,0,1.7703703703703704,0,0.837037037037037,0,0.6666666666666666,0,0.9988291203792088,0,Carlos_Bacca,True,"[0, 0.0]",0.9988291203792088,"{'P(0)': 1.0, 'P(1)': 0.0, 'P(2)': 0.0, 'P(3)': 0.0, 'P(4)': 0.0, 'P(5+)': 0.0}"
7,2025-02-28,Bucaramanga,Junior,Bucaramanga,0.09799336,0,0,0,1.7703703703703704,0,0.837037037037037,0,0.2857142857142857,0,0.9988291203792088,0,Carlos_Bacca,False,"[0.09799335896968842, 0.09799335896968842]",0.9988291203792088,"{'P(0)': 0.9066549248567659, 'P(1)': 0.08884616151312494, 'P(2)': 0.004353166899117284, 'P(3)': 0.00014219381553338864, 'P(4)': 3.4835124022082503e-06, 'P(5+)': 6.940305630198651e-08}"
8,2025-03-07,Junior,Millonarios,Millonarios,0.001993969,0,0,0,1.7703703703703704,0,0.837037037037037,0,0.375,0,0.9988291203792088,0,Carlos_Bacca,True,"[0.0019939690828323364, 0.0019939690828323364]",0.9988291203792088,"{'P(0)': 0.9980080175528698, 'P(1)': 0.001989997131419214, 'P(2)': 1.9839963774874745e-06, 'P(3)': 1.3186758123871252e-09, 'P(4)': 6.573497000446859e-13, 'P(5+)': 2.220446049250313e-16}"
9,2025-03-14,Llaneros,Junior,Llaneros,0.13593441,0,0,0,1.7703703703703704,0,0.837037037037037,0,0.0,0,0.7990632963033669,0,Carlos_Bacca,False,"[0.13593441247940063, 0.13593441247940063]",0.7990632963033669,"{'P(0)': 0.8728998819502622, 'P(1)': 0.11865713260624706, 'P(2)': 0.008064793803660262, 'P(3)': 0.00036542766915602316, 'P(4)': 1.241854887761019e-05, 'P(5+)': 3.4542179683239027e-07}"
10,2025-03-22,Junior,Unión Magdalena,Unión Magdalena,0.01606366,0,0,0,1.7703703703703704,0,0.837037037037037,0,0.25,0,0.9988291203792088,0,Carlos_Bacca,True,"[0.016063660383224487, 0.016063660383224487]",0.9988291203792088,"{'P(0)': 0.9840646721270654, 'P(1)': 0.01580768068817834, 'P(2)': 0.0001269646070106766, 'P(3)': 6.798387759030238e-07, 'P(4)': 2.730174802863311e-09, 'P(5+)': 8.794853734173103e-12}"
