Fecha_Numero,Fecha,Local,Visitante,Oponente,Pred_en_decimal,Pred_en_decimal,Pred_en_Int,Pred_en_Int,Historico_de_tiros_totales,Historico_de_tiros_totales,Historico_de_tiros_a_puerta,Historico_de_tiros_a_puerta,Promedio_Historico_de_goles_vs_oponente,Promedio_Historico_de_goles_vs_oponente,Confianza_modelo,Confianza_modelo,Jugador,Es_Local,Rango_Prediccion,Confianza,Probabilidades
1,2025-01-24,Atlético Nacional,Once Caldas,Atlético Nacional,0.76793647,0,0,0,2.9657534246575343,0,1.2671232876712328,0,0.5555555555555556,0,0.9993244612248061,0,Dayro_Moreno,False,"[0.7679364681243896, 0.7679364681243896]",0.9993244612248061,"{'P(0)': 0.4639694970076776, 'P(1)': 0.35629909684952543, 'P(2)': 0.1368075350152672, 'P(3)': 0.03501983175080937, 'P(4)': 0.006723251477256725, 'P(5+)': 0.0011807878994637422}"
2,2025-01-31,Once Caldas,Fortaleza CEIF,Fortaleza CEIF,0.62564015,0,1,0,2.9657534246575343,0,1.2671232876712328,0,0.3333333333333333,0,0.9993244612248061,0,Dayro_Moreno,True,"[0.6256401538848877, 0.6256401538848877]",0.9993244612248061,"{'P(0)': 0.534918888486957, 'P(1)': 0.33466673570891287, 'P(2)': 0.10469047401453865, 'P(3)': 0.02183285475757927, 'P(4)': 0.003414877652569573, 'P(5+)': 0.0004761693794426147}"
3,2025-02-07,Once Caldas,Bucaramanga,Bucaramanga,0.65413094,0,1,0,2.9657534246575343,0,1.2671232876712328,0,0.6,0,0.9993244612248061,0,Dayro_Moreno,True,"[0.6541309356689453, 0.6541309356689453]",0.9993244612248061,"{'P(0)': 0.5198936873727632, 'P(1)': 0.3400785441695237, 'P(2)': 0.11122794814927164, 'P(3)': 0.024252547265140003, 'P(4)': 0.003966085358725339, 'P(5+)': 0.0005811876845761565}"
4,2025-02-11,Junior,Once Caldas,Junior,0.8377922,0,1,0,2.9657534246575343,0,1.2671232876712328,0,0.36363636363636365,0,0.9993244612248061,0,Dayro_Moreno,False,"[0.8377922177314758, 0.8377922177314758]",0.9993244612248061,"{'P(0)': 0.43266469918642236, 'P(1)': 0.3624831178655146, 'P(2)': 0.15184276760338475, 'P(3)': 0.042404229672308266, 'P(4)': 0.008881483404589498, 'P(5+)': 0.0017237022677804026}"
5,2025-02-15,Once Caldas,Pereira,Pereira,0.67511415,0,1,0,2.9657534246575343,0,1.2671232876712328,0,0.8,0,0.9993244612248061,0,Dayro_Moreno,True,"[0.6751141548156738, 0.6751141548156738]",0.9993244612248061,"{'P(0)': 0.5090983012675699, 'P(1)': 0.3436994693783508, 'P(2)': 0.11601818838998043, 'P(3)': 0.026108507066049082, 'P(4)': 0.004406555670348693, 'P(5+)': 0.000668978227701178}"
6,2025-02-21,Rionegro,Once Caldas,Rionegro,0.7471495,0,1,0,2.9657534246575343,0,1.2671232876712328,0,0.3333333333333333,0,0.9993244612248061,0,Dayro_Moreno,False,"[0.7471495270729065, 0.7471495270729065]",0.9993244612248061,"{'P(0)': 0.4737149416713444, 'P(1)': 0.3539358946371145, 'P(2)': 0.13222151814612307, 'P(3)': 0.0329297482505792, 'P(4)': 0.00615086145801253, 'P(5+)': 0.0010470358368263044}"
7,2025-02-28,Once Caldas,Alianza FC,Alianza FC,0.65111625,0,0,0,2.9657534246575343,0,1.2671232876712328,0,0.5714285714285714,0,0.9993244612248061,0,Dayro_Moreno,True,"[0.6511162519454956, 0.6511162519454956]",0.9993244612248061,"{'P(0)': 0.5214633672654095, 'P(1)': 0.3395332732207309, 'P(2)': 0.1105378161351341, 'P(3)': 0.023990989513382945, 'P(4)': 0.003905230793104397, 'P(5+)': 0.0005693230722381148}"
8,2025-03-07,Deportes Tolima,Once Caldas,Deportes Tolima,0.75002134,0,1,0,2.9657534246575343,0,1.2671232876712328,0,0.36363636363636365,0,0.9993244612248061,0,Dayro_Moreno,False,"[0.7500213384628296, 0.7500213384628296]",0.9993244612248061,"{'P(0)': 0.4723564732724277, 'P(1)': 0.35427743431536796, 'P(2)': 0.13285781773619476, 'P(3)': 0.03321539942791715, 'P(4)': 0.00622806458412598, 'P(5+)': 0.0010648106639664645}"
9,2025-03-14,Once Caldas,Independiente Santa Fe,Independiente Santa Fe,0.66114354,0,1,0,2.9657534246575343,0,1.2671232876712328,0,0.6666666666666666,0,0.9993244612248061,0,Dayro_Moreno,True,"[0.6611435413360596, 0.6611435413360596]",0.9993244612248061,"{'P(0)': 0.5162606314371617, 'P(1)': 0.3413223821207554, 'P(2)': 0.11283154422628797, 'P(3)': 0.024865948908061417, 'P(4)': 0.004109990379939311, 'P(5+)': 0.0006095029277942698}"
10,2025-03-22,Pereira,Once Caldas,Pereira,0.79036355,0,0,0,2.9657534246575343,0,1.2671232876712328,0,0.8,0,0.9993244612248061,0,Dayro_Moreno,False,"[0.7903635501861572, 0.7903635501861572]",0.9993244612248061,"{'P(0)': 0.4536798299109571, 'P(1)': 0.358572001016276, 'P(2)': 0.14170111986028916, 'P(3)': 0.037331800052710785, 'P(4)': 0.0073764235061250655, 'P(5+)': 0.0013388256536419618}"
