Fecha_Numero,Fecha,Local,Visitante,Oponente,Pred_en_decimal,Pred_en_decimal,Pred_en_Int,Pred_en_Int,Historico_de_tiros_totales,Historico_de_tiros_totales,Historico_de_tiros_a_puerta,Historico_de_tiros_a_puerta,Promedio_Historico_de_goles_vs_oponente,Promedio_Historico_de_goles_vs_oponente,Confianza_modelo,Confianza_modelo,Jugador,Es_Local,Rango_Prediccion,Confianza,Probabilidades
1,2025-01-24,Unión Magdalena,Millonarios,Unión Magdalena,0.2839647,0,0,0,2.891304347826087,0,1.1304347826086956,0,0.3333333333333333,0,0.9989922145709514,0,Leonardo_Castro,False,"[0.28396469354629517, 0.28396469354629517]",0.9989922145709514,"{'P(0)': 0.7527932226960726, 'P(1)': 0.2137666967866182, 'P(2)': 0.030351097271707917, 'P(3)': 0.002872880011851444, 'P(4)': 0.00020394912304016818, 'P(5+)': 1.2154110709650112e-05}"
2,2025-01-31,Deportivo Pasto,Millonarios,Deportivo Pasto,0.279461,0,1,0,2.891304347826087,0,1.1304347826086956,0,0.625,0,0.9989922145709514,0,Leonardo_Castro,False,"[0.27946099638938904, 0.27946099638938904]",0.9989922145709514,"{'P(0)': 0.756191221427934, 'P(1)': 0.21132595220115957, 'P(2)': 0.029528680582536226, 'P(3)': 0.002750704832553193, 'P(4)': 0.00019217867831960577, 'P(5+)': 1.1262277497370299e-05}"
3,2025-02-07,Millonarios,La Equidad,La Equidad,0.15037814,0,1,0,2.891304347826087,0,1.1304347826086956,0,1.0,0,0.9989922145709514,0,Leonardo_Castro,True,"[0.15037813782691956, 0.15037813782691956]",0.9989922145709514,"{'P(0)': 0.8603825717090337, 'P(1)': 0.12938272895234054, 'P(2)': 0.00972816692340902, 'P(3)': 0.00048763454213722723, 'P(4)': 1.8332393596669695e-05, 'P(5+)': 5.654794827947285e-07}"
4,2025-02-11,Llaneros,Millonarios,Llaneros,0.31885868,0,1,0,2.891304347826087,0,1.1304347826086956,0,0.0,0,0.7991937716567611,0,Leonardo_Castro,False,"[0.31885868310928345, 0.31885868310928345]",0.7991937716567611,"{'P(0)': 0.7269782763572669, 'P(1)': 0.23180333584833485, 'P(2)': 0.0369562532044695, 'P(3)': 0.003927940743143462, 'P(4)': 0.00031311450317250586, 'P(5+)': 2.1079343612839807e-05}"
5,2025-02-15,Millonarios,Independiente Medellín,Independiente Medellín,0.22348145,0,1,0,2.891304347826087,0,1.1304347826086956,0,0.0,0,0.699294550199666,0,Leonardo_Castro,True,"[0.2234814465045929, 0.2234814465045929]",0.699294550199666,"{'P(0)': 0.799729729511814, 'P(1)': 0.17872475676402702, 'P(2)': 0.01997083358390314, 'P(3)': 0.0014877035924110596, 'P(4)': 8.311853770052565e-05, 'P(5+)': 3.858010144353052e-06}"
6,2025-02-21,Deportivo Cali,Millonarios,Deportivo Cali,0.2839647,0,0,0,2.891304347826087,0,1.1304347826086956,0,0.3333333333333333,0,0.9989922145709514,0,Leonardo_Castro,False,"[0.28396469354629517, 0.28396469354629517]",0.9989922145709514,"{'P(0)': 0.7527932226960726, 'P(1)': 0.2137666967866182, 'P(2)': 0.030351097271707917, 'P(3)': 0.002872880011851444, 'P(4)': 0.00020394912304016818, 'P(5+)': 1.2154110709650112e-05}"
7,2025-02-28,Millonarios,Deportes Tolima,Deportes Tolima,0.21798949,0,0,0,2.891304347826087,0,1.1304347826086956,0,0.2857142857142857,0,0.9989921996848077,0,Leonardo_Castro,True,"[0.21798946022987364, 0.21798951864242555]",0.9989921996848077,"{'P(0)': 0.8041338935227749, 'P(1)': 0.1752927368873328, 'P(2)': 0.01910598710796749, 'P(3)': 0.0013883014582798307, 'P(4)': 7.565878151847056e-05, 'P(5+)': 3.422242126460695e-06}"
8,2025-03-07,Junior,Millonarios,Junior,0.24295707,0,0,0,2.891304347826087,0,1.1304347826086956,0,0.8888888888888888,0,0.9989921996848077,0,Leonardo_Castro,False,"[0.2429570412635803, 0.24295709967613222]",0.9989921996848077,"{'P(0)': 0.7843051829018426, 'P(1)': 0.19055248959215648, 'P(2)': 0.023148037321024054, 'P(3)': 0.0018746597782143021, 'P(4)': 0.00011386546196065423, 'P(5+)': 5.764944801867067e-06}"
9,2025-03-14,Millonarios,Rionegro,Rionegro,0.21870394,0,0,0,2.891304347826087,0,1.1304347826086956,0,0.25,0,0.9989921996848077,0,Leonardo_Castro,True,"[0.21870391130447386, 0.21870396971702577]",0.9989921996848077,"{'P(0)': 0.803559584380746, 'P(1)': 0.17574164753924953, 'P(2)': 0.019217695414342595, 'P(3)': 0.001400995238217364, 'P(4)': 7.66007948087335e-05, 'P(5+)': 3.476632635668331e-06}"
10,2025-03-22,Independiente Santa Fe,Millonarios,Independiente Santa Fe,0.28254437,0,0,0,2.891304347826087,0,1.1304347826086956,0,0.4782608695652174,0,0.9989922145709514,0,Leonardo_Castro,False,"[0.2825443744659424, 0.2825443744659424]",0.9989922145709514,"{'P(0)': 0.7538631889406936, 'P(1)': 0.2129998031521488, 'P(2)': 0.03009094807149637, 'P(3)': 0.0028340093666493656, 'P(4)': 0.00020018335093264155, 'P(5+)': 1.1867118079211814e-05}"
