Fecha_Numero,Fecha,Local,Visitante,Oponente,Pred_en_decimal,Pred_en_decimal,Pred_en_Int,Pred_en_Int,Historico_de_tiros_totales,Historico_de_tiros_totales,Historico_de_tiros_a_puerta,Historico_de_tiros_a_puerta,Promedio_Historico_de_goles_vs_oponente,Promedio_Historico_de_goles_vs_oponente,Confianza_modelo,Confianza_modelo,Jugador,Es_Local,Rango_Prediccion,Confianza,Probabilidades
1,2025-01-24,Junior,Deportivo Cali,Deportivo Cali,0.0,0,0,0,2.355371900826446,0,0.9752066115702479,0,0.42857142857142855,0,0.9976421379935098,0,Marco_Perez,True,"[0, 0.0]",0.9976421379935098,"{'P(0)': 1.0, 'P(1)': 0.0, 'P(2)': 0.0, 'P(3)': 0.0, 'P(4)': 0.0, 'P(5+)': 0.0}"
2,2025-01-31,Junior,Rionegro,Rionegro,0.0,0,0,0,2.355371900826446,0,0.9752066115702479,0,0.0,0,0.7981137103948077,0,Marco_Perez,True,"[0, 0.0]",0.7981137103948077,"{'P(0)': 1.0, 'P(1)': 0.0, 'P(2)': 0.0, 'P(3)': 0.0, 'P(4)': 0.0, 'P(5+)': 0.0}"
3,2025-02-07,Unión Magdalena,Junior,Unión Magdalena,0.04464889,0,0,0,2.355371900826446,0,0.9752066115702479,0,1.6666666666666667,0,0.9976421379935098,0,Marco_Perez,False,"[0.04464888945221901, 0.04464888945221901]",0.9976421379935098,"{'P(0)': 0.9563332015665444, 'P(1)': 0.04269921539623131, 'P(2)': 0.0009532362739614095, 'P(3)': 1.4186980339316035e-05, 'P(4)': 1.5835822920773163e-07, 'P(5+)': 1.424694362484047e-09}"
4,2025-02-11,Junior,Once Caldas,Once Caldas,0.0,0,0,0,2.355371900826446,0,0.9752066115702479,0,0.16666666666666666,0,0.9976421379935098,0,Marco_Perez,True,"[0, 0.0]",0.9976421379935098,"{'P(0)': 1.0, 'P(1)': 0.0, 'P(2)': 0.0, 'P(3)': 0.0, 'P(4)': 0.0, 'P(5+)': 0.0}"
5,2025-02-15,Boyacá Chicó,Junior,Boyacá Chicó,0.114142045,0,0,0,2.355371900826446,0,0.9752066115702479,0,0.5,0,0.8978779241941587,0,Marco_Perez,False,"[0.114142045378685, 0.114142045378685]",0.8978779241941587,"{'P(0)': 0.8921312237642492, 'P(1)': 0.10182968262664072, 'P(2)': 0.005811524127633558, 'P(3)': 0.00022111308356522432, 'P(4)': 6.309574904530697e-06, 'P(5+)': 1.468230067525056e-07}"
6,2025-02-21,Junior,Envigado,Envigado,0.0,0,0,0,2.355371900826446,0,0.9752066115702479,0,0.4444444444444444,0,0.9976421379935098,0,Marco_Perez,True,"[0, 0.0]",0.9976421379935098,"{'P(0)': 1.0, 'P(1)': 0.0, 'P(2)': 0.0, 'P(3)': 0.0, 'P(4)': 0.0, 'P(5+)': 0.0}"
7,2025-02-28,Bucaramanga,Junior,Bucaramanga,0.11403908,0,1,0,2.355371900826446,0,0.9752066115702479,0,0.4,0,0.9976421379935098,0,Marco_Perez,False,"[0.11403907835483551, 0.11403907835483551]",0.9976421379935098,"{'P(0)': 0.8922230885906862, 'P(1)': 0.10174829870978662, 'P(2)': 0.0058016411045182835, 'P(3)': 0.0002205379348349317, 'P(4)': 6.287485707713599e-06, 'P(5+)': 1.4617446619791252e-07}"
8,2025-03-07,Junior,Millonarios,Millonarios,0.0,0,0,0,2.355371900826446,0,0.9752066115702479,0,0.2857142857142857,0,0.9976421379935098,0,Marco_Perez,True,"[0, 0.0]",0.9976421379935098,"{'P(0)': 1.0, 'P(1)': 0.0, 'P(2)': 0.0, 'P(3)': 0.0, 'P(4)': 0.0, 'P(5+)': 0.0}"
9,2025-03-14,Llaneros,Junior,Llaneros,0.111004606,0,0,0,2.355371900826446,0,0.9752066115702479,0,0.0,0,0.6983494965954568,0,Marco_Perez,False,"[0.11100460588932037, 0.11100460588932037]",0.6983494965954568,"{'P(0)': 0.8949346269496976, 'P(1)': 0.09934186556125715, 'P(2)': 0.0055137023174686, 'P(3)': 0.00020401545091387809, 'P(4)': 5.661663681006761e-06, 'P(5+)': 1.2805698179629843e-07}"
10,2025-03-22,Junior,Unión Magdalena,Unión Magdalena,0.0,0,0,0,2.355371900826446,0,0.9752066115702479,0,1.6666666666666667,0,0.9976421379935098,0,Marco_Perez,True,"[0, 0.0]",0.9976421379935098,"{'P(0)': 1.0, 'P(1)': 0.0, 'P(2)': 0.0, 'P(3)': 0.0, 'P(4)': 0.0, 'P(5+)': 0.0}"
11,2025-03-28,La Equidad,Junior,La Equidad,0.11283992,0,0,0,2.355371900826446,0,0.9752066115702479,0,0.16666666666666666,0,0.9976421379935098,0,Marco_Perez,False,"[0.11283992230892181, 0.11283992230892181]",0.9976421379935098,"{'P(0)': 0.893293645055516, 'P(1)': 0.100799185507118, 'P(2)': 0.005687086130712895, 'P(3)': 0.0002139101190512632, 'P(4)': 6.034400303709193e-06, 'P(5+)': 1.387872982094862e-07}"
12,2025-04-04,Junior,Independiente Medellín,Independiente Medellín,0.0,0,0,0,2.355371900826446,0,0.9752066115702479,0,0.0,0,0.6983494965954568,0,Marco_Perez,True,"[0, 0.0]",0.6983494965954568,"{'P(0)': 1.0, 'P(1)': 0.0, 'P(2)': 0.0, 'P(3)': 0.0, 'P(4)': 0.0, 'P(5+)': 0.0}"
13,2025-04-10,Deportivo Pasto,Junior,Deportivo Pasto,0.12043451,0,0,0,2.355371900826446,0,0.9752066115702479,0,0.5,0,0.9976421379935098,0,Marco_Perez,False,"[0.12043450772762299, 0.12043450772762299]",0.9976421379935098,"{'P(0)': 0.8865351466454358, 'P(1)': 0.1067694239694791, 'P(2)': 0.006429361508063041, 'P(3)': 0.00025810566274216655, 'P(4)': 7.771207108516181e-06, 'P(5+)': 1.9100717141284917e-07}"
14,2025-04-14,Deportes Tolima,Junior,Deportes Tolima,0.10740115,0,0,0,2.355371900826446,0,0.9752066115702479,0,0.0,0,0.9976421379935098,0,Marco_Perez,False,"[0.10740114748477936, 0.10740114748477936]",0.9976421379935098,"{'P(0)': 0.898165303961973, 'P(1)': 0.09646398427653155, 'P(2)': 0.005180171301126601, 'P(3)': 0.00018545211396957319, 'P(4)': 4.979442460952562e-06, 'P(5+)': 1.0890393831175516e-07}"
